Day ,Items ,Note ,Amount 
90,Human Resource Expense,Counselled,2000
90,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
90,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
90,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
90,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
90,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
90,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2000
90,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,1300
90,Salary Expense,Cash Payment - Salary Expense,29596
90,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 15128,200
90,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 15143,108
90,Rental Expense,Cash Payment - Rental - Detroit,2400
90,Rental Expense,Cash Payment - Rental - Los Angeles,1080
90,Rental Expense,Cash Payment - Rental - New York,2680
90,Rental Expense,Cash Payment - Rental - Chicago,1480
89,Human Resource Expense,Counselled,2000
89,Human Resource Expense,Counselled,2000
89,Human Resource Expense,Counselled,2000
89,Human Resource Expense,Counselled,2000
89,Human Resource Expense,Counselled,2000
89,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
89,Marketing Expense,Cash Payment - Marketing - Los Angeles - Sparkling Wine,1700
89,Marketing Expense,Cash Payment - Marketing - Los Angeles - Red Wine,2500
89,Marketing Expense,Cash Payment - Marketing - Los Angeles - White Wine,2600
89,Marketing Expense,Cash Payment - Marketing - New York - Red Wine,3200
89,Marketing Expense,Cash Payment - Marketing - Chicago - Sparkling Wine,2200
89,Marketing Expense,Cash Payment - Marketing - Chicago - Red Wine,2000
89,Marketing Expense,Cash Payment - Marketing - Chicago - White Wine,1300
89,Salary Expense,Cash Payment - Salary Expense,29458
89,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14788,110
89,Shipping Expense,Cash Payment - Shipping Expense - WEB SO : 14948,195
89,Penalty Expense,Cash Payment - Late penalty - SRV SO ID: 11176,3300
89,Depreciation Expense,Non-Cash Expense - Depreciation,5000
89,Rental Expense,Cash Payment - Rental - Detroit,2400
89,Rental Expense,Cash Payment - Rental - Los Angeles,1080
89,Rental Expense,Cash Payment - Rental - New York,2680
89,Rental Expense,Cash Payment - Rental - Chicago,1480
88,Marketing Expense,Cash Payment - Marketing Report Subscription,20000
