Scenario with DEFICIT
[HIGHEST OVERHEAD] MARKETING EXPENSE: 37.64%
[CASH DEFICIT] DAY: 2, AMOUNT: USD158280
[CASH DEFICIT] DAY: 3, AMOUNT: USD730935
[CASH DEFICIT] DAY: 4, AMOUNT: USD405682
[CASH DEFICIT] DAY: 5, AMOUNT: USD1916
[CASH DEFICIT] DAY: 6, AMOUNT: USD518370
[CASH DEFICIT] DAY: 7, AMOUNT: USD8563
[CASH DEFICIT] DAY: 8, AMOUNT: USD1454717
[CASH DEFICIT] DAY: 10, AMOUNT: USD33893
[CASH DEFICIT] DAY: 14, AMOUNT: USD1139057
[CASH DEFICIT] DAY: 15, AMOUNT: USD739300
[CASH DEFICIT] DAY: 23, AMOUNT: USD8590
[CASH DEFICIT] DAY: 24, AMOUNT: USD91390
[CASH DEFICIT] DAY: 25, AMOUNT: USD1126732
[CASH DEFICIT] DAY: 29, AMOUNT: USD1432035
[CASH DEFICIT] DAY: 36, AMOUNT: USD178785
[CASH DEFICIT] DAY: 38, AMOUNT: USD246851
[CASH DEFICIT] DAY: 41, AMOUNT: USD1601834
[CASH DEFICIT] DAY: 45, AMOUNT: USD2181474
[CASH DEFICIT] DAY: 46, AMOUNT: USD75955
[CASH DEFICIT] DAY: 48, AMOUNT: USD41484
[CASH DEFICIT] DAY: 50, AMOUNT: USD277921
[CASH DEFICIT] DAY: 51, AMOUNT: USD123919
[CASH DEFICIT] DAY: 53, AMOUNT: USD101407
[CASH DEFICIT] DAY: 61, AMOUNT: USD63837
[CASH DEFICIT] DAY: 73, AMOUNT: USD162399
[CASH DEFICIT] DAY: 80, AMOUNT: USD163265
[CASH DEFICIT] DAY: 83, AMOUNT: USD685499
[CASH DEFICIT] DAY: 84, AMOUNT: USD86279
[CASH DEFICIT] DAY: 88, AMOUNT: USD402223
[NET PROFIT DEFICIT] DAY:1, AMOUNT: USD12600
[NET PROFIT DEFICIT] DAY:2, AMOUNT: USD158280
[NET PROFIT DEFICIT] DAY:3, AMOUNT: USD57548
[NET PROFIT DEFICIT] DAY:4, AMOUNT: USD30768
[NET PROFIT DEFICIT] DAY:5, AMOUNT: USD28275
[NET PROFIT DEFICIT] DAY:6, AMOUNT: USD49713
[NET PROFIT DEFICIT] DAY:7, AMOUNT: USD61502
[NET PROFIT DEFICIT] DAY:8, AMOUNT: USD140493
[NET PROFIT DEFICIT] DAY:9, AMOUNT: USD311291
[NET PROFIT DEFICIT] DAY:15, AMOUNT: USD132997
[NET PROFIT DEFICIT] DAY:17, AMOUNT: USD71280
[NET PROFIT DEFICIT] DAY:18, AMOUNT: USD10886
[NET PROFIT DEFICIT] DAY:36, AMOUNT: USD880
[NET PROFIT DEFICIT] DAY:48, AMOUNT: USD9660
[NET PROFIT DEFICIT] DAY:51, AMOUNT: USD9193
[NET PROFIT DEFICIT] DAY:53, AMOUNT: USD5720
[NET PROFIT DEFICIT] DAY:61, AMOUNT: USD22933
[NET PROFIT DEFICIT] DAY:62, AMOUNT: USD19089
